name,nominal,price,nkd,cost,coupon,rate,profitability
RG Leasing 1P2,RUB:1000.0,100.0,RUB:0.0,RUB:1000.0,RUB:51.0,20.7,15.97
RG Leasing 1P3,RUB:1000.0,100.0,RUB:0.0,RUB:1000.0,RUB:53.0,21.36,17.03
REATORG 001P-01,RUB:600.0,85.2,RUB:8.0,RUB:520.0,RUB:23.0,16.0,25.44
REGION-PRODUCT BO 001P-02,RUB:1000.0,81.05,RUB:25.0,RUB:836.0,RUB:28.0,11.5,16.91
REGION-PRODUCT BO 001P-04,RUB:1000.0,90.76,RUB:15.0,RUB:923.0,RUB:15.0,19.0,22.33
RED SOFT BO 002P-03,RUB:1000.0,99.99,RUB:42.0,RUB:1043.0,RUB:47.0,19.0,-6.83
RED SOFT BO 002P-04,RUB:1000.0,87.92,RUB:30.0,RUB:910.0,RUB:34.0,14.0,20.58
RED SOFT BO 002P-05,RUB:1000.0,97.52,RUB:31.0,RUB:1007.0,RUB:51.0,20.5,18.73
ReinnolC 001P-02,RUB:1000.0,87.69,RUB:37.0,RUB:914.0,RUB:44.0,18.0,16.9
Rekord Trade 01,RUB:1000.0,90.22,RUB:4.0,RUB:907.0,RUB:16.0,20.0,23.21
Renaissance Credit BO-04,RUB:1000.0,85.91,RUB:51.0,RUB:910.0,RUB:57.0,11.5,22.94
Renaissance Credit BO-06,RUB:1000.0,80.35,RUB:22.0,RUB:826.0,RUB:41.0,8.15,25.01
RESO-LEASING BO-P-05,RUB:1000.0,90.92,RUB:20.0,RUB:930.0,RUB:42.0,8.5,18.66
RESO-LEASING BO-P-11,RUB:1000.0,91.75,RUB:76.0,RUB:994.0,RUB:92.0,18.6,17.2
RESO-LEASING BO-P-21,RUB:1000.0,99.75,RUB:3.0,RUB:1001.0,RUB:7.0,9.6,10.19
RESO-LEASING BO-P-22,RUB:1000.0,81.0,RUB:48.0,RUB:859.0,RUB:54.0,10.9,13.19
RESO-LEASING BO-P-25,RUB:1000.0,85.55,RUB:1.0,RUB:857.0,RUB:12.0,15.5,17.3
RESO-LEASING BO-P-26,RUB:1000.0,117.67,RUB:29.0,RUB:1207.0,RUB:46.0,18.5,11.76
RESO-LEASING BO-P-27,RUB:1000.0,104.8,RUB:2.0,RUB:1051.0,RUB:14.0,17.99,12.01
RESO-LEASING BO-02P-01,RUB:1000.0,98.91,RUB:101.0,RUB:1091.0,RUB:95.0,19.21,14.51
RESO-LEASING BO-02P-02,RUB:1000.0,99.97,RUB:103.0,RUB:1103.0,RUB:103.0,20.8,16.24
RESO-LEASING BO-02P-05,RUB:1000.0,89.7,RUB:16.0,RUB:913.0,RUB:50.0,20.35,20.42
RESO-Lizing B03,RUB:1000.0,99.0,RUB:28.0,RUB:1019.0,RUB:99.0,20.0,17.53
RESO-Lizing B04,RUB:1000.0,137.28,RUB:14.0,RUB:1388.0,RUB:107.0,21.5,-15.6
RESO-Lizing B05,RUB:1000.0,100.24,RUB:28.0,RUB:1031.0,RUB:99.0,20.0,16.5
RESO-LEASING BO-06,RUB:1000.0,98.53,RUB:90.0,RUB:1076.0,RUB:89.0,17.88,13.74
RESO-LEASING BO-09,RUB:1000.0,104.0,RUB:55.0,RUB:1095.0,RUB:90.0,18.19,10.39
RESO-LEASING BO-P-01,RUB:1000.0,104.96,RUB:39.0,RUB:1089.0,RUB:39.0,8.0,5.6
RESO-LEASING BO-P-08,RUB:1000.0,99.42,RUB:67.0,RUB:1061.0,RUB:75.0,15.2,12.38
RESO-LEASING BO-P-09,RUB:1000.0,0.0,RUB:44.0,RUB:0.0,RUB:55.0,11.07,0.0
RZD 001B-01,RUB:1000.0,88.85,RUB:28.0,RUB:917.0,RUB:32.0,6.55,0.0
RZD 001B-02,RUB:1000.0,87.2,RUB:24.0,RUB:896.0,RUB:36.0,7.3,0.0
RZD 001B-03,RUB:1000.0,99.19,RUB:31.0,RUB:1024.0,RUB:94.0,18.92,0.0
RZD 001B-04,RUB:1000.0,97.0,RUB:21.0,RUB:991.0,RUB:97.0,19.65,0.0
RZD 001B-05,RUB:1000000.0,100.0,RUB:42720.0,RUB:1043290.0,RUB:87360.0,17.52,0.0
RZD 001B-06,RUB:1000000.0,99.5,RUB:29150.0,RUB:1024717.0,RUB:94739.0,19.0,0.0
RZD 001B-07,RUB:1000000.0,100.0,RUB:38980.0,RUB:1039550.0,RUB:89803.0,18.01,0.0
RZD 001B-08,RUB:1000000.0,98.85,RUB:75484.0,RUB:1064548.0,RUB:83769.0,16.8,0.0
RZD BO 1P-05R,RUB:1000.0,85.25,RUB:20.0,RUB:873.0,RUB:36.0,7.3,9.01
RZD BO 1P-06R,RUB:1000.0,94.76,RUB:10.0,RUB:959.0,RUB:47.0,9.45,9.11
RZD BO 1P-07R,RUB:1000.0,99.4,RUB:77.0,RUB:1072.0,RUB:82.0,16.5,13.32
RZD BO 001P-08R,RUB:1000.0,98.99,RUB:48.0,RUB:1038.0,RUB:80.0,16.21,13.62
RZD BO 001P-09R,RUB:1000.0,101.1,RUB:14.0,RUB:1026.0,RUB:87.0,17.64,14.8
RZD BO 001P-13R,RUB:1000.0,72.17,RUB:15.0,RUB:737.0,RUB:45.0,9.1,18.25
RZD BO 001P-14R,RUB:1000.0,72.01,RUB:4.0,RUB:724.0,RUB:45.0,9.1,18.45
RZD BO 001P-15R,RUB:1000.0,82.09,RUB:11.0,RUB:832.0,RUB:21.0,8.8,16.99
RZD BO 001P-16R,RUB:1000.0,83.14,RUB:32.0,RUB:864.0,RUB:39.0,7.9,18.3
RZD BO 001P-17R,RUB:1000.0,88.45,RUB:3.0,RUB:888.0,RUB:33.0,6.75,18.46
RZD BO 001P-18R,RUB:1000.0,99.42,RUB:39.0,RUB:1034.0,RUB:81.0,16.27,13.66
RZD BO 001P-19R,RUB:1000.0,100.0,RUB:8.0,RUB:1008.0,RUB:37.0,7.55,6.44
RZD BO 001P-20R,RUB:1000.0,76.65,RUB:7.0,RUB:774.0,RUB:36.0,7.35,19.55
RZD BO 001P-21R,RUB:1000.0,74.0,RUB:30.0,RUB:771.0,RUB:34.0,6.85,19.02
RZD BO 001P-22R,RUB:1000.0,100.0,RUB:26.0,RUB:1026.0,RUB:34.0,6.85,5.65
RZD BO 001P-23R,RUB:1000.0,100.0,RUB:28.0,RUB:1029.0,RUB:39.0,7.85,6.52
RZD BO 001P-24R,RUB:1000.0,89.85,RUB:7.0,RUB:906.0,RUB:59.0,11.87,15.31
RZD BO 001P-25R,RUB:1000.0,100.0,RUB:7.0,RUB:1008.0,RUB:59.0,11.87,10.17
RZD BO 001P-26R,RUB:1000.0,97.2,RUB:0.0,RUB:973.0,RUB:16.0,19.77,19.66
RZD BO 001P-27R,RUB:1000.0,100.1,RUB:2.0,RUB:1004.0,RUB:17.0,20.93,18.05
RZD BO 001P-28R,RUB:1000.0,95.22,RUB:7.0,RUB:960.0,RUB:17.0,20.29,19.08
RZD BO 001P-29R,RUB:1000.0,112.97,RUB:1.0,RUB:1131.0,RUB:31.0,12.55,7.72
RZD BO 001P-30R,RUB:1000.0,100.0,RUB:8.0,RUB:1009.0,RUB:30.0,12.4,10.66
RZD BO 001P-31R,RUB:1000.0,0.0,RUB:26.0,RUB:0.0,RUB:33.0,13.39,0.0
RZD BO 001P-32R,RUB:1000.0,96.51,RUB:5.0,RUB:970.0,RUB:17.0,20.65,19.13
RZD BO 001P-33R,RUB:1000.0,98.5,RUB:12.0,RUB:998.0,RUB:16.0,19.83,17.55
RZhD 23,RUB:1000.0,98.47,RUB:27.0,RUB:1013.0,RUB:39.0,7.85,12.81
RZhD 28,RUB:1000.0,97.0,RUB:25.0,RUB:996.0,RUB:74.0,15.0,13.76
RZhD 30,RUB:1000.0,100.95,RUB:8.0,RUB:1018.0,RUB:112.0,22.5,18.94
RZhD 32,RUB:1000.0,84.21,RUB:38.0,RUB:880.0,RUB:48.0,9.8,11.65
RZhD 33,RUB:1000.0,0.0,RUB:15.0,RUB:0.0,RUB:41.0,8.42,0.0
RZhD 34,RUB:1000.0,0.0,RUB:15.0,RUB:0.0,RUB:41.0,8.42,0.0
RZhD 35,RUB:1000.0,0.0,RUB:36.0,RUB:0.0,RUB:41.0,8.42,0.0
RZD 36,RUB:1000.0,0.0,RUB:4.0,RUB:0.0,RUB:41.0,8.42,0.0
RZD 41,RUB:1000.0,99.61,RUB:41.0,RUB:1038.0,RUB:44.0,8.9,7.42
RZD 42,RUB:1000.0,0.0,RUB:42.0,RUB:0.0,RUB:48.0,9.7,0.0
RZhD BO-001P-01R,RUB:1000.0,94.13,RUB:44.0,RUB:986.0,RUB:45.0,9.05,8.58
